"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone";"";""
"'OH' MCDONALD FARMS                          ";"413650";"6034429790010001";"250 W AXTON RD                ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982267315";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3609666785";"";""
"12/12 GARDENS                                ";"417272";"6033587800010001";"3104 234TH ST E               ";"UNIT A                   ";"SPANAWAY                ";"WA";"PIERCE";"983877472";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"150 POUNDERS                                 ";"417134";"6024012150010002";"21037 BUCODA HWY SE           ";"                         ";"CENTRALIA               ";"WA";"THURSTON";"985319501";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2534055065";"";""
"25K FARMS                                    ";"416058";"6033599140010002";"1780 E MAIN ST STE B          ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"25K FARMS                                    ";"416059";"6033599140010003";"1780 E MAIN ST STE C          ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"30TH STREET PRODUCTIONS                      ";"412692";"6033530320010001";"13300 SE 30TH ST              ";"                         ";"BELLEVUE                ";"WA";"KING";"980054431";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"2065230976";"";""
"3RD I DIMENSIONS                             ";"417195";"6031277070010001";"300 NW 85TH ST                ";"SUITE 200                ";"SEATTLE                 ";"WA";"KING";"981173120";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"420 FARMS                                    ";"412433";"6034130820010001";"11670 W HWY 28                ";"STE C                    ";"QUINCY                  ";"WA";"GRANT";"988489709";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"5096796556";"";""
"420 GROWERS AND PROCESSORS                   ";"412200";"6034612280010001";"4710 E ELK TO HIGHWAY RD STE A";"                         ";"ELK                     ";"WA";"SPOKANE";"990098752";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5097014967";"";""
"420 GROWERS AND PRODUCERS                    ";"417542";"6023008490010003";"4710 E ELK TO HIGHWAY RD STE B";"                         ";"ELK                     ";"WA";"SPOKANE";"990098752";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"420 NATURAL                                  ";"416426";"6033568660010001";"9730 LATHROP INDUSTRIAL DR SW ";"STE D1                   ";"TUMWATER                ";"WA";"THURSTON";"985121064";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3603523420";"";""
"420 PRO                                      ";"416001";"6034494190010001";"12313 NE 117TH AVE            ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986621267";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3604488960";"";""
