"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone";"";""
"'OH' MCDONALD FARMS                          ";"413650";"6034429790010001";"250 W AXTON RD                ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982267315";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3609666785";"";""
"12/12 GARDENS                                ";"417272";"6033587800010001";"3104 234TH ST E               ";"UNIT A                   ";"SPANAWAY                ";"WA";"PIERCE";"983877472";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"1492 PRODUCTIONS                             ";"413280";"6033524830010001";"2835 OCEAN AVE #A             ";"                         ";"RAYMOND                 ";"WA";"PACIFIC";"985774909";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"150 POUNDERS                                 ";"417134";"6024012150010002";"21037 BUCODA HWY SE           ";"                         ";"CENTRALIA               ";"WA";"THURSTON";"985319501";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2534055065";"";""
"25K FARMS                                    ";"416058";"6033599140010002";"1780 E MAIN ST STE B          ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"25K FARMS                                    ";"416059";"6033599140010003";"1780 E MAIN ST STE C          ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"30TH STREET PRODUCTIONS                      ";"412692";"6033530320010001";"13300 SE 30TH ST              ";"                         ";"BELLEVUE                ";"WA";"KING";"980054431";"MARIJUANA PRODUCER TIER 1          ";"PENDING (ISSUED)";"2065230976";"";""
"420 FARMS                                    ";"412433";"6034130820010001";"11670 W HWY 28                ";"STE C                    ";"QUINCY                  ";"WA";"GRANT";"988489709";"MARIJUANA PRODUCER TIER 3          ";"PENDING (ISSUED)";"5096796556";"";""
"420 GROWERS AND PROCESSORS                   ";"412200";"6034612280010001";"4710 E ELK TO HIGHWAY RD STE A";"                         ";"ELK                     ";"WA";"SPOKANE";"990098752";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5097014967";"";""
"420 NATURAL                                  ";"416426";"6033568660010001";"9730 LATHROP INDUSTRIAL DR SW ";"STE D1                   ";"TUMWATER                ";"WA";"THURSTON";"985121064";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3603523420";"";""
"420 PRO                                      ";"416001";"6034494190010001";"12313 NE 117TH AVE            ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986621267";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3604488960";"";""
"420 PRODUCTS                                 ";"412742";"6033512340010001";"21 154TH DR SE    STE A       ";"STE A                    ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982907780";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2067943797";"";""
"420 RANCH                                    ";"416748";"6033589370010001";"8531 POSTMA ROAD    STE P     ";"STE P                    ";"MOXEE                   ";"WA";"YAKIMA";"989369317";"MARIJUANA PRODUCER TIER 3          ";"PENDING (ISSUED)";"5415711868";"";""
"47 DEGREES NORTH                             ";"416340";"6033531780010001";"28221 N NORTH RD              ";"                         ";"DEER PARK               ";"WA";"SPOKANE";"990069363";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2063750631";"";""
"4EVERGREEN TREES                             ";"413855";"6033532860010002";"3303 S 35TH ST                ";"STE B-18                 ";"TACOMA                  ";"WA";"PIERCE";"984090000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"509 DA KINE                                  ";"412599";"6033473350010001";"19 GUN CLUB RD STE A          ";"                         ";"BREWSTER                ";"WA";"DOUGLAS";"988129631";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5096860178";"";""
"5TH HOUSE FARMS                              ";"416057";"6034232790010001";"19425 OLD HWY 99 SW STE A     ";"                         ";"ROCHESTER               ";"WA";"THURSTON";"985799124";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"4255311122";"";""
"A NEW LEAF                                   ";"416356";"6033220100010001";"26713 SW ROAD U               ";"#B                       ";"MATTAWA                 ";"WA";"GRANT";"993490000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"A-ACTION GROUP UTILITIES                     ";"416630";"6021417030010001";"1199 W CUNNINGHAM RD          ";"STE P3                   ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3608704970";"";""
"AAA BIO-DYNAMIC                              ";"414116";"6014882920010003";"4325 S FEY RD                 ";"                         ";"PORT ANGELES            ";"WA";"CLALLAM";"983639464";"MARIJUANA PRODUCER TIER 1          ";"PENDING (NOT ISSUED)";"          ";"";""
"AARONS ORIGINAL                              ";"412986";"6001830100010005";"177 RAREY RD                  ";"                         ";"WINLOCK                 ";"WA";"LEWIS";"985969663";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ABC CANNABIS FARM                            ";"416265";"6016486270010002";"282 B AND O RD                ";"                         ";"OKANOGAN                ";"WA";"OKANOGAN";"988408262";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ABI MANAGMENT                                ";"413098";"6033501030010002";"4101 161ST ST AVE COURT KP S  ";"STE B                    ";"LONGBRANCH              ";"WA";"PIERCE";"983518100";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ABILENE PRODUCTIONS LLC                      ";"416657";"6035043200010001";"1926 PINE CR RD   UNIT 5      ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"988550000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2067958838";"";""
"ABSOLUTE EDIBLES                             ";"416661";"6034163880010001";"202 N CRESTLINE STE C         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992023005";"MARIJUANA PRODUCER TIER 1          ";"CLOSED (PERMANENT)";"          ";"";""
"ABSOLUTE OILS                                ";"415965";"6032805190010003";"17207 JORDAN RD STE B         ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982235803";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
