"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone";"";""
"#1 POT STOP                                  ";"421905";"6032170680010006";"3005 NORTHVIEW CIRCLE         ";"                         ";"SHELTON                 ";"WA";"MASON";"985842948";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"#1 POT STOP                                  ";"422219";"6032170680010007";"215404 E BOWLES RD            ";"                         ";"KENNEWICK               ";"WA";"BENTON";"993370000";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"#1 POT STOP                                  ";"422608";"6032170680010008";"1243 N GOERIG ST              ";"                         ";"WOODLAND                ";"WA";"CLARK";"986749406";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"#HASHTAG                                     ";"414884";"6033581390010001";"3540 STONE WAY N              ";"                         ";"SEATTLE                 ";"WA";"KING";"981038924";"MARIJUANA RETAILER                 ";"ACTIVE (ISSUED)";"3608184000";"";""
"1 LOVE                                       ";"422867";"6026959270010002";"262 N MAIN ST                 ";"                         ";"COLVILLE                ";"WA";"STEVENS";"991142308";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"12GREEN LLC                                  ";"415153";"6035519520010001";"323 N 105TH ST STE A          ";"                         ";"SEATTLE                 ";"WA";"KING";"981338799";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"172ND ST CANNABIS                            ";"421084";"6033210770010003";"5200 172ND ST NE F-101        ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982234703";"MARIJUANA RETAILER                 ";"ACTIVE (ISSUED)";"4253432272";"";""
"1ST AVE                                      ";"421648";"6035680060010001";"8909 14TH AVE S STE A         ";"                         ";"SEATTLE                 ";"WA";"KING";"981084818";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"20 AFTER 4 LLC                               ";"422047";"6034964500010002";"1626 WESTSIDE HWY             ";"                         ";"KELSO                   ";"WA";"COWLITZ";"986261827";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"20 SACK                                      ";"420850";"6031074030010002";"1210 N WENATCHEE AVE STE H-1  ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988016707";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"2020 SOLUTIONS                               ";"415470";"6029975740010001";"2018 IRON ST STE A            ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982264212";"MARIJUANA RETAILER                 ";"ACTIVE (ISSUED)";"3603938697";"";""
"2020 SOLUTIONS                               ";"422139";"6033451150010005";"4264 PACIFIC HWY              ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269042";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"2020 SOLUTIONS                               ";"422456";"6035723460010003";"7217 212TH ST                 ";"STE A                    ";"EDMONDS                 ";"WA";"SNOHOMISH";"980267735";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"2020 SOLUTIONS ON PACIFIC HIGHWAY            ";"422239";"6035723460010001";"1615 BASIN ST SW              ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988232134";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"2020 SOLUTIONS ON STRATFORD                  ";"422363";"6035723460010002";"4793 STRATFORD ROAD SUITE B   ";"                         ";"MOSES LAKE              ";"WA";"GRANT";"988373733";"MARIJUANA RETAILER                 ";"PENDING (NOT ISSUED)";"          ";"";""
"2020 SOLUTIONS ON THE GUIDE                  ";"413314";"6034152650010001";"5655 GUIDE MERIDIAN STE A     ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269722";"MARIJUANA RETAILER                 ";"ACTIVE (ISSUED)";"3607342020";"";""
"21+ RECREATIONAL MARIJUANA                   ";"422073";"6035830060010001";"3598 BETHEL RD SE             ";"                         ";"PORT ORCHARD            ";"WA";"KITSAP";"983665605";"MARIJUANA RETAILER                 ";"ACTIVE (ISSUED)";"2064278666";"";""
